nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
TheAlgorithms/Java,2016-07-16T10:21:02Z,2022-08-25T13:10:18Z,0,Java,829,673,668
strapi/strapi,2015-09-30T15:34:48Z,2022-08-25T14:30:26Z,244,JavaScript,4995,6785,6482
python/cpython,2017-02-10T19:23:51Z,2022-08-25T14:29:53Z,0,Python,28826,60498,53680
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,2022-08-25T13:56:34Z,0,,284,198,130
moment/moment,2011-03-01T02:46:06Z,2022-08-25T13:23:40Z,0,JavaScript,712,3989,3819
vitejs/vite,2020-04-21T05:03:57Z,2022-08-25T14:32:31Z,174,TypeScript,2440,4494,4038
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2022-08-25T14:30:26Z,1,Shell,422,530,230
junegunn/fzf,2013-10-23T16:04:23Z,2022-08-25T14:03:32Z,18,Go,329,2185,1940
3b1b/manim,2015-03-22T18:50:58Z,2022-08-25T14:14:25Z,10,Python,513,986,650
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2022-08-25T11:30:59Z,22,C++,1282,2391,2039
google/material-design-icons,2014-10-08T18:01:28Z,2022-08-25T12:33:17Z,16,,40,1151,971
ReactiveX/RxJava,2013-01-08T20:11:48Z,2022-08-25T09:58:20Z,229,Java,3101,3096,3084
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,2022-08-25T10:03:51Z,0,,391,95,95
syncthing/syncthing,2013-11-26T09:48:21Z,2022-08-25T12:51:11Z,308,Go,2201,4944,4616
jgthms/bulma,2016-01-23T23:48:34Z,2022-08-25T14:18:17Z,17,CSS,595,2421,2272
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,2022-08-25T11:46:48Z,14,Vue,949,865,778
ageitgey/face_recognition,2017-03-03T21:52:39Z,2022-08-25T12:07:55Z,2,Python,94,1230,567
google/guava,2014-05-29T16:23:17Z,2022-08-25T12:05:18Z,35,Java,363,3382,2727
